session,theory,time_days,multiple,single,churn_multiple,churn_single
ADS_Functor,ADS_Functor.Merkle_Interface,913,0,1,0,299
ADS_Functor,ADS_Functor.ADS_Construction,913,0,1,0,1281
ADS_Functor,ADS_Functor.Generic_ADS_Construction,913,2,1,7,466
ADS_Functor,ADS_Functor.Inclusion_Proof_Construction,913,0,1,0,430
ADS_Functor,ADS_Functor.Canton_Transaction_Tree,913,0,1,0,518
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.Error_Monad_Add,727,0,2,0,55
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.Option_Monad_Add,727,0,1,0,101
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.SASP_Semantics,727,0,1,0,228
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.SASP_Checker,727,1,2,2,349
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.PDDL_STRIPS_Semantics,727,1,1,2,969
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.PDDL_STRIPS_Checker,727,0,3,0,862
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.Lifschitz_Consistency,727,0,1,0,416
AODV,AODV.Aodv_Basic,2919,1,2,2,46
AODV,AODV.Aodv_Data,2919,2,3,20,994
AODV,AODV.Aodv_Message,2919,0,2,0,76
AODV,AODV.Aodv,2919,2,3,3,542
AODV,AODV.Aodv_Predicates,2919,0,2,0,138
AODV,AODV.Fresher,2919,3,3,8,802
AODV,AODV.Seq_Invariants,2919,4,2,12,645
AODV,AODV.Quality_Increases,2919,0,2,0,458
AODV,AODV.OAodv,2919,1,2,2,49
AODV,AODV.Global_Invariants,2919,4,3,24,1155
AODV,AODV.Loop_Freedom,2919,0,2,0,125
AODV,AODV.Aodv_Loop_Freedom,2919,4,3,24,375
AODV,AODV.A_Norreqid,2915,0,2,0,27
AODV,AODV.A_Aodv_Data,2919,2,4,20,992
AODV,AODV.A_Aodv_Message,2919,0,3,0,79
AODV,AODV.A_Aodv,2919,2,3,3,539
AODV,AODV.A_Aodv_Predicates,2919,0,2,0,139
AODV,AODV.A_Fresher,2919,3,3,8,803
AODV,AODV.A_Seq_Invariants,2919,4,2,12,645
AODV,AODV.A_Quality_Increases,2919,0,2,0,459
AODV,AODV.A_OAodv,2919,1,2,2,49
AODV,AODV.A_Global_Invariants,2919,4,3,24,1169
AODV,AODV.A_Loop_Freedom,2919,0,2,0,125
AODV,AODV.A_Aodv_Loop_Freedom,2919,4,3,24,375
AODV,AODV.B_Fwdrreps,2915,0,2,0,35
AODV,AODV.B_Aodv_Data,2919,2,4,20,996
AODV,AODV.B_Aodv_Message,2919,0,3,0,78
AODV,AODV.B_Aodv,2919,2,3,3,539
AODV,AODV.B_Aodv_Predicates,2919,0,2,0,138
AODV,AODV.B_Fresher,2919,3,3,8,803
