session,theory,sloc
ADS_Functor,ADS_Functor.Merkle_Interface,198
ADS_Functor,ADS_Functor.ADS_Construction,895
ADS_Functor,ADS_Functor.Generic_ADS_Construction,307
ADS_Functor,ADS_Functor.Inclusion_Proof_Construction,330
ADS_Functor,ADS_Functor.Canton_Transaction_Tree,361
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.Error_Monad_Add,33
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.Option_Monad_Add,72
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.SASP_Semantics,168
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.SASP_Checker,263
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.PDDL_STRIPS_Semantics,561
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.PDDL_STRIPS_Checker,543
AI_Planning_Languages_Semantics,AI_Planning_Languages_Semantics.Lifschitz_Consistency,324
AVL-Trees,AVL-Trees.AVL,545
AVL-Trees,AVL-Trees.AVL2,222
AWN,AWN.Lib,26
AWN,AWN.TransitionSystems,8
AWN,AWN.Invariants,254
AWN,AWN.OInvariants,599
AWN,AWN.AWN,642
AWN,AWN.AWN_SOS,374
AWN,AWN.AWN_Cterms,945
AWN,AWN.AWN_Labels,175
AWN,AWN.Inv_Cterms,102
AWN,AWN.AWN_SOS_Labels,73
AWN,AWN.Pnet,551
AWN,AWN.Closed,161
AWN,AWN.OAWN_SOS,427
AWN,AWN.OAWN_SOS_Labels,73
AWN,AWN.OPnet,66
AWN,AWN.ONode_Lifting,482
AWN,AWN.OPnet_Lifting,794
AWN,AWN.OClosed_Lifting,68
AWN,AWN.AWN_Invariants,579
AWN,AWN.OAWN_Invariants,686
AWN,AWN.OAWN_Convert,280
AWN,AWN.Qmsg,44
AWN,AWN.Qmsg_Lifting,406
AWN,AWN.OClosed_Transfer,1636
AWN,AWN.AWN_Main,5
AWN,AWN.Toy,744
AWN,AWN.AWN_Term_Graph,85
Abortable_Linearizable_Modules,Abortable_Linearizable_Modules.Sequences,13
Abortable_Linearizable_Modules,Abortable_Linearizable_Modules.IOA,311
Abortable_Linearizable_Modules,Abortable_Linearizable_Modules.RDR,237
Abortable_Linearizable_Modules,Abortable_Linearizable_Modules.SLin,120
Abortable_Linearizable_Modules,Abortable_Linearizable_Modules.Simulations,266
Abortable_Linearizable_Modules,Abortable_Linearizable_Modules.Idempotence,1848
Abortable_Linearizable_Modules,Abortable_Linearizable_Modules.Consensus,95
Abs_Int_ITP2012,Abs_Int_ITP2012.Complete_Lattice_ix,34
Abs_Int_ITP2012,Abs_Int_ITP2012.ACom,94
Abs_Int_ITP2012,Abs_Int_ITP2012.Collecting,147
Abs_Int_ITP2012,Abs_Int_ITP2012.Abs_Int0,289
Abs_Int_ITP2012,Abs_Int_ITP2012.Abs_State,60
Abs_Int_ITP2012,Abs_Int_ITP2012.Abs_Int1,300
Abs_Int_ITP2012,Abs_Int_ITP2012.Abs_Int2,262
Abs_Int_ITP2012,Abs_Int_ITP2012.Abs_Int2_ivl,212
Abs_Int_ITP2012,Abs_Int_ITP2012.Abs_Int3,518
Abs_Int_ITP2012,Abs_Int_ITP2012.Abs_Int1_const,103
Abs_Int_ITP2012,Abs_Int_ITP2012.Abs_Int1_parity,97
Abstract-Hoare-Logics,Abstract-Hoare-Logics.Lang,53
Abstract-Hoare-Logics,Abstract-Hoare-Logics.Hoare,105
Abstract-Hoare-Logics,Abstract-Hoare-Logics.Termi,64
Abstract-Hoare-Logics,Abstract-Hoare-Logics.HoareTotal,105
Abstract-Hoare-Logics,Abstract-Hoare-Logics.PLang,133
Abstract-Hoare-Logics,Abstract-Hoare-Logics.PHoare,115
Abstract-Hoare-Logics,Abstract-Hoare-Logics.PTermi,69
Abstract-Hoare-Logics,Abstract-Hoare-Logics.PHoareTotal,666
Abstract-Hoare-Logics,Abstract-Hoare-Logics.PsLang,127
Abstract-Hoare-Logics,Abstract-Hoare-Logics.PsHoare,148
Abstract-Hoare-Logics,Abstract-Hoare-Logics.PsTermi,69
Abstract-Hoare-Logics,Abstract-Hoare-Logics.PsHoareTotal,707
Abstract-Rewriting,Abstract-Rewriting.Seq,469
Abstract-Rewriting,Abstract-Rewriting.Abstract_Rewriting,2452
Abstract-Rewriting,Abstract-Rewriting.Relative_Rewriting,1613
Abstract-Rewriting,Abstract-Rewriting.SN_Orders,258
Abstract-Rewriting,Abstract-Rewriting.SN_Order_Carrier,639
Abstract_Completeness,Abstract_Completeness.Abstract_Completeness,320
Abstract_Completeness,Abstract_Completeness.Propositional_Logic,111
Abstract_Soundness,Abstract_Soundness.Finite_Proof_Soundness,30
Abstract_Soundness,Abstract_Soundness.Infinite_Proof_Soundness,531
Ackermanns_not_PR,Ackermanns_not_PR.Primrec,172
Actuarial_Mathematics,Actuarial_Mathematics.Preliminaries,163
Actuarial_Mathematics,Actuarial_Mathematics.Interest,768
Adaptive_State_Counting,Adaptive_State_Counting.FSM,1611
Adaptive_State_Counting,Adaptive_State_Counting.FSM_Product,1384
Adaptive_State_Counting,Adaptive_State_Counting.ATC,639
Adaptive_State_Counting,Adaptive_State_Counting.ASC_LB,2467
Adaptive_State_Counting,Adaptive_State_Counting.ASC_Suite,1565
Adaptive_State_Counting,Adaptive_State_Counting.ASC_Sufficiency,680
Adaptive_State_Counting,Adaptive_State_Counting.ASC_Hoare,928
Adaptive_State_Counting,Adaptive_State_Counting.ASC_Example,343
Affine_Arithmetic,Affine_Arithmetic.Affine_Arithmetic_Auxiliarities,67
Affine_Arithmetic,Affine_Arithmetic.Executable_Euclidean_Space,899
Affine_Arithmetic,Affine_Arithmetic.Affine_Form,1640
Affine_Arithmetic,Affine_Arithmetic.Floatarith_Expression,1915
Affine_Arithmetic,Affine_Arithmetic.Straight_Line_Program,941
Affine_Arithmetic,Affine_Arithmetic.Affine_Approximation,3457
Affine_Arithmetic,Affine_Arithmetic.Counterclockwise,257
Affine_Arithmetic,Affine_Arithmetic.Counterclockwise_Vector,178
Affine_Arithmetic,Affine_Arithmetic.Counterclockwise_2D_Strict,444
Affine_Arithmetic,Affine_Arithmetic.Polygon,402
Affine_Arithmetic,Affine_Arithmetic.Counterclockwise_2D_Arbitrary,838
Affine_Arithmetic,Affine_Arithmetic.Intersection,2535
Affine_Arithmetic,Affine_Arithmetic.Affine_Code,420
Affine_Arithmetic,Affine_Arithmetic.Optimize_Integer,30
Affine_Arithmetic,Affine_Arithmetic.Optimize_Float,50
Affine_Arithmetic,Affine_Arithmetic.Print,159
Affine_Arithmetic,Affine_Arithmetic.Float_Real,84
Affine_Arithmetic,Affine_Arithmetic.Ex_Affine_Approximation,22
Affine_Arithmetic,Affine_Arithmetic.Ex_Ineqs,94
Affine_Arithmetic,Affine_Arithmetic.Ex_Inter,245
Affine_Arithmetic,Affine_Arithmetic.Affine_Arithmetic,10
Aggregation_Algebras,Aggregation_Algebras.Semigroups_Big,623
Aggregation_Algebras,Aggregation_Algebras.Aggregation_Algebras,104
Aggregation_Algebras,Aggregation_Algebras.Matrix_Aggregation_Algebras,808
Aggregation_Algebras,Aggregation_Algebras.Linear_Aggregation_Algebras,883
Akra_Bazzi,Akra_Bazzi.Akra_Bazzi_Library,240
Akra_Bazzi,Akra_Bazzi.Akra_Bazzi_Asymptotics,333
Akra_Bazzi,Akra_Bazzi.Akra_Bazzi_Real,1099
Akra_Bazzi,Akra_Bazzi.Akra_Bazzi,908
Akra_Bazzi,Akra_Bazzi.Master_Theorem,414
Akra_Bazzi,Akra_Bazzi.Eval_Numeral,101
Akra_Bazzi,Akra_Bazzi.Akra_Bazzi_Method,349
Akra_Bazzi,Akra_Bazzi.Akra_Bazzi_Approximation,70
Akra_Bazzi,Akra_Bazzi.Master_Theorem_Examples,158
Algebraic_Numbers,Algebraic_Numbers.Algebraic_Numbers_Prelim,891
Algebraic_Numbers,Algebraic_Numbers.Bivariate_Polynomials,437
Algebraic_Numbers,Algebraic_Numbers.Resultant,934
Algebraic_Numbers,Algebraic_Numbers.Algebraic_Numbers,1150
Algebraic_Numbers,Algebraic_Numbers.Sturm_Rat,257
Algebraic_Numbers,Algebraic_Numbers.Factors_of_Int_Poly,268
Algebraic_Numbers,Algebraic_Numbers.Min_Int_Poly,130
Algebraic_Numbers,Algebraic_Numbers.Algebraic_Numbers_Pre_Impl,287
Algebraic_Numbers,Algebraic_Numbers.Cauchy_Root_Bound,162
Algebraic_Numbers,Algebraic_Numbers.Real_Algebraic_Numbers,2990
Algebraic_Numbers,Algebraic_Numbers.Real_Roots,404
Algebraic_Numbers,Algebraic_Numbers.Complex_Roots_Real_Poly,398
Algebraic_Numbers,Algebraic_Numbers.Compare_Complex,64
Algebraic_Numbers,Algebraic_Numbers.Interval_Arithmetic,402
Algebraic_Numbers,Algebraic_Numbers.Complex_Algebraic_Numbers,891
Algebraic_Numbers,Algebraic_Numbers.Show_Real_Alg,23
Algebraic_Numbers,Algebraic_Numbers.Show_Real_Approx,17
Algebraic_Numbers,Algebraic_Numbers.Show_Real_Precise,110
Algebraic_Numbers,Algebraic_Numbers.Algebraic_Number_Tests,42
Algebraic_Numbers,Algebraic_Numbers.Algebraic_Numbers_External_Code,100
Algebraic_VCs,Algebraic_VCs.VC_KAT_scratch,253
Algebraic_VCs,Algebraic_VCs.VC_KAD_scratch,385
Algebraic_VCs,Algebraic_VCs.P2S2R,113
Algebraic_VCs,Algebraic_VCs.VC_KAT,125
Algebraic_VCs,Algebraic_VCs.VC_KAT_Examples,58
Algebraic_VCs,Algebraic_VCs.VC_KAT_Examples2,45
Algebraic_VCs,Algebraic_VCs.RKAT,71
Algebraic_VCs,Algebraic_VCs.RKAT_Models,8
Algebraic_VCs,Algebraic_VCs.VC_RKAT,22
Algebraic_VCs,Algebraic_VCs.VC_RKAT_Examples,20
Algebraic_VCs,Algebraic_VCs.VC_KAD,154
Algebraic_VCs,Algebraic_VCs.VC_KAD_Examples,87
Algebraic_VCs,Algebraic_VCs.VC_KAD_Examples2,78
Algebraic_VCs,Algebraic_VCs.VC_KAD_dual,55
Algebraic_VCs,Algebraic_VCs.VC_KAD_dual_Examples,87
Algebraic_VCs,Algebraic_VCs.VC_KAD_wf,120
Algebraic_VCs,Algebraic_VCs.VC_KAD_wf_Examples,22
Algebraic_VCs,Algebraic_VCs.Path_Model_Example,172
Algebraic_VCs,Algebraic_VCs.Pointer_Examples,23
Algebraic_VCs,Algebraic_VCs.KAD_is_KAT,62
Algebraic_VCs,Algebraic_VCs.Domain_Quantale,356
Allen_Calculus,Allen_Calculus.xor_cal,16
Allen_Calculus,Allen_Calculus.axioms,65
Allen_Calculus,Allen_Calculus.allen,2039
Allen_Calculus,Allen_Calculus.disjoint_relations,237
Allen_Calculus,Allen_Calculus.jointly_exhaustive,98
Allen_Calculus,Allen_Calculus.examples,154
Allen_Calculus,Allen_Calculus.nest,702
Amicable_Numbers,Amicable_Numbers.Amicable_Numbers,1205
Amortized_Complexity,Amortized_Complexity.Amortized_Framework0,305
