"theory","frequency"
"ADS_Functor.Merkle_Interface",0.00505050505050505
"ADS_Functor.ADS_Construction",0
"ADS_Functor.Generic_ADS_Construction",0
"ADS_Functor.Inclusion_Proof_Construction",0
"ADS_Functor.Canton_Transaction_Tree",0
"AI_Planning_Languages_Semantics.Error_Monad_Add",0
"AI_Planning_Languages_Semantics.Option_Monad_Add",0.0277777777777778
"AI_Planning_Languages_Semantics.SASP_Semantics",0
"AI_Planning_Languages_Semantics.SASP_Checker",0.0152091254752852
"AI_Planning_Languages_Semantics.PDDL_STRIPS_Semantics",0.0035650623885918
"AI_Planning_Languages_Semantics.PDDL_STRIPS_Checker",0.00184162062615101
"AI_Planning_Languages_Semantics.Lifschitz_Consistency",0.00925925925925926
"AVL-Trees.AVL",0.0055045871559633
"AVL-Trees.AVL2",0
"AWN.Lib",0
"AWN.TransitionSystems",0
"AWN.Invariants",0
"AWN.OInvariants",0.00166944908180301
"AWN.AWN",0.00467289719626168
"AWN.AWN_SOS",0
"AWN.AWN_Cterms",0.00211640211640212
"AWN.AWN_Labels",0
"AWN.Inv_Cterms",0
"AWN.AWN_SOS_Labels",0
"AWN.Pnet",0
"AWN.Closed",0
"AWN.OAWN_SOS",0
"AWN.OAWN_SOS_Labels",0
"AWN.OPnet",0
"AWN.ONode_Lifting",0.00829875518672199
"AWN.OPnet_Lifting",0.00125944584382872
"AWN.OClosed_Lifting",0
"AWN.AWN_Invariants",0
"AWN.OAWN_Invariants",0
"AWN.OAWN_Convert",0
"AWN.Qmsg",0
"AWN.Qmsg_Lifting",0
"AWN.OClosed_Transfer",0.00122249388753056
"AWN.Toy",0.00268817204301075
"AWN.AWN_Term_Graph",0
"Abortable_Linearizable_Modules.Sequences",0
"Abortable_Linearizable_Modules.IOA",0
"Abortable_Linearizable_Modules.RDR",0
"Abortable_Linearizable_Modules.SLin",0
"Abortable_Linearizable_Modules.Simulations",0.0112781954887218
"Abortable_Linearizable_Modules.Idempotence",0.0205627705627706
"Abortable_Linearizable_Modules.Consensus",0
"Abs_Int_ITP2012.Complete_Lattice_ix",0
"Abs_Int_ITP2012.ACom",0
"Abs_Int_ITP2012.Collecting",0
"Abs_Int_ITP2012.Abs_Int0",0.055363321799308
"Abs_Int_ITP2012.Abs_State",0.0166666666666667
"Abs_Int_ITP2012.Abs_Int1",0.0333333333333333
"Abs_Int_ITP2012.Abs_Int2",0.0190839694656489
"Abs_Int_ITP2012.Abs_Int2_ivl",0.0188679245283019
"Abs_Int_ITP2012.Abs_Int3",0.0540540540540541
"Abs_Int_ITP2012.Abs_Int1_const",0.00970873786407767
"Abs_Int_ITP2012.Abs_Int1_parity",0
"Abstract-Hoare-Logics.Lang",0.0188679245283019
"Abstract-Hoare-Logics.Hoare",0.0476190476190476
"Abstract-Hoare-Logics.Termi",0
"Abstract-Hoare-Logics.HoareTotal",0.0666666666666667
"Abstract-Hoare-Logics.PLang",0.0451127819548872
"Abstract-Hoare-Logics.PHoare",0.0260869565217391
"Abstract-Hoare-Logics.PTermi",0
"Abstract-Hoare-Logics.PHoareTotal",0.0825825825825826
"Abstract-Hoare-Logics.PsLang",0.0393700787401575
"Abstract-Hoare-Logics.PsHoare",0.0202702702702703
"Abstract-Hoare-Logics.PsTermi",0
"Abstract-Hoare-Logics.PsHoareTotal",0.0777934936350778
"Abstract-Rewriting.Seq",0.00426439232409382
"Abstract-Rewriting.Abstract_Rewriting",0.00407830342577488
"Abstract-Rewriting.Relative_Rewriting",0.00619962802231866
"Abstract-Rewriting.SN_Orders",0
"Abstract-Rewriting.SN_Order_Carrier",0.0516431924882629
"Abstract_Completeness.Abstract_Completeness",0
"Abstract_Completeness.Propositional_Logic",0.00900900900900901
"Abstract_Soundness.Finite_Proof_Soundness",0
"Abstract_Soundness.Infinite_Proof_Soundness",0
"Ackermanns_not_PR.Primrec",0
"Actuarial_Mathematics.Preliminaries",0
"Actuarial_Mathematics.Interest",0.00651041666666667
"Adaptive_State_Counting.FSM",0
"Adaptive_State_Counting.FSM_Product",0
"Adaptive_State_Counting.ATC",0
"Adaptive_State_Counting.ASC_LB",0
"Adaptive_State_Counting.ASC_Suite",0
"Adaptive_State_Counting.ASC_Sufficiency",0
"Adaptive_State_Counting.ASC_Hoare",0
"Affine_Arithmetic.Affine_Arithmetic_Auxiliarities",0
"Affine_Arithmetic.Executable_Euclidean_Space",0.0444938820912125
"Affine_Arithmetic.Affine_Form",0.00182926829268293
"Affine_Arithmetic.Floatarith_Expression",0.016710182767624
"Affine_Arithmetic.Straight_Line_Program",0.0212539851222104
"Affine_Arithmetic.Affine_Approximation",0.00809950824414232
"Affine_Arithmetic.Counterclockwise",0
"Affine_Arithmetic.Counterclockwise_Vector",0
"Affine_Arithmetic.Counterclockwise_2D_Strict",0.00225225225225225
"Affine_Arithmetic.Polygon",0.00248756218905473
"Affine_Arithmetic.Counterclockwise_2D_Arbitrary",0
"Affine_Arithmetic.Intersection",0.00118343195266272
"Affine_Arithmetic.Affine_Code",0
"Affine_Arithmetic.Optimize_Integer",0
"Affine_Arithmetic.Optimize_Float",0
"Affine_Arithmetic.Print",0
"Affine_Arithmetic.Float_Real",0
"Affine_Arithmetic.Ex_Affine_Approximation",0
"Affine_Arithmetic.Ex_Ineqs",0
"Affine_Arithmetic.Ex_Inter",0
"Aggregation_Algebras.Semigroups_Big",0.00160513643659711
"Aggregation_Algebras.Aggregation_Algebras",0
"Aggregation_Algebras.Matrix_Aggregation_Algebras",0.00247524752475248
