theory,global_attribute_on_unnamed_lemma,use_apply,use_by,counter_example_finder,bad_style_command,lemma_transforming_attribute,auto_structural_composition,force_failure,low_level_apply_chain,unfinished_proof,global_attribute_changes,complex_isar_initial_method,diagnostic_command,simplifier_isar_initial_method,short_name,implicit_rule,unrestricted_auto,use_isar,proof_finder,smt_oracle,axiomatization_with_where,complex_method,apply_isar_switch,tactic_proofs,axiomatization_with_where
ADS_Functor.ADS_Construction,0,131,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
ADS_Functor.Canton_Transaction_Tree,0,46,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
ADS_Functor.Generic_ADS_Construction,0,34,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,30,0,0,4,0,0,0,4
ADS_Functor.Inclusion_Proof_Construction,0,59,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
ADS_Functor.Merkle_Interface,0,46,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
AI_Planning_Languages_Semantics.Error_Monad_Add,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI_Planning_Languages_Semantics.Lifschitz_Consistency,0,52,2,0,0,0,0,1,0,0,0,0,1,0,0,0,2,13,0,0,0,0,0,0,0
AI_Planning_Languages_Semantics.Option_Monad_Add,0,6,6,0,0,0,0,3,0,0,0,0,0,0,0,0,2,21,0,0,0,0,0,0,0
AI_Planning_Languages_Semantics.PDDL_STRIPS_Checker,0,48,7,0,0,0,1,4,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0
AI_Planning_Languages_Semantics.PDDL_STRIPS_Semantics,0,57,1,0,0,0,0,4,0,0,0,0,0,0,1,1,2,42,0,0,0,0,0,0,0
AI_Planning_Languages_Semantics.SASP_Checker,1,26,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0
AI_Planning_Languages_Semantics.SASP_Semantics,0,13,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
AODV.A_Aodv,0,26,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AODV.A_Aodv_Data,0,137,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.A_Aodv_Loop_Freedom,0,48,0,0,0,0,0,12,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0
AODV.A_Aodv_Message,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.A_Aodv_Predicates,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.A_Fresher,0,122,0,0,0,0,0,44,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AODV.A_Global_Invariants,0,178,0,0,0,0,0,68,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
AODV.A_Loop_Freedom,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.A_Norreqid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.A_OAodv,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AODV.A_Quality_Increases,0,65,0,0,0,0,0,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AODV.A_Seq_Invariants,0,70,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.All,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.Aodv,0,26,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AODV.Aodv_Basic,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.Aodv_Data,0,137,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.Aodv_Loop_Freedom,0,48,0,0,0,0,0,12,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0
AODV.Aodv_Message,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.Aodv_Predicates,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.B_Aodv,0,26,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AODV.B_Aodv_Data,0,137,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.B_Aodv_Loop_Freedom,0,48,0,0,0,0,0,12,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0
AODV.B_Aodv_Message,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.B_Aodv_Predicates,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.B_Fresher,0,122,0,0,0,0,0,44,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AODV.B_Fwdrreps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.B_Global_Invariants,0,178,0,0,0,0,0,68,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
AODV.B_Loop_Freedom,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.B_OAodv,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AODV.B_Quality_Increases,0,65,0,0,0,0,0,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AODV.B_Seq_Invariants,0,73,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.C_Aodv,0,26,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AODV.C_Aodv_Data,0,116,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.C_Aodv_Loop_Freedom,0,48,0,0,0,0,0,12,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0
AODV.C_Aodv_Message,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.C_Aodv_Predicates,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.C_Fresher,0,117,0,0,0,0,0,44,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AODV.C_Global_Invariants,0,178,0,0,0,0,0,68,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
AODV.C_Gtobcast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.C_Loop_Freedom,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.C_OAodv,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AODV.C_Quality_Increases,0,65,0,0,0,0,0,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AODV.C_Seq_Invariants,0,64,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_Aodv,0,26,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AODV.D_Aodv_Data,0,137,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_Aodv_Loop_Freedom,0,48,0,0,0,0,0,12,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0
AODV.D_Aodv_Message,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_Aodv_Predicates,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_Fresher,0,122,0,0,0,0,0,44,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AODV.D_Fwdrreqs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_Global_Invariants,0,178,0,0,0,0,0,68,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
AODV.D_Loop_Freedom,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.D_OAodv,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AODV.D_Quality_Increases,0,65,0,0,0,0,0,28,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AODV.D_Seq_Invariants,0,72,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.E_All_ABCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.E_Aodv,0,26,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AODV.E_Aodv_Data,0,116,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AODV.E_Aodv_Loop_Freedom,0,48,0,0,0,0,0,12,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,1,0
