Discussing Improvements,Specific good/bads ,Generally answering,Consistent score,Droning off about quality,Complaining about missing things,Questioning correctness,Garbage,,Score,Answer
,,x,y,,,,,,10,"10. All steps are clear, and the proof is quite simple."
,x,,y,,,,,,3,"3, because the definition of eq_onpE is not very readable, it is difficult to see the connection between the lemma and the lemma tagged with the lemma tag."
,,x,y,,,x,,,6,"6.The problems are that it is hard to read, the proofs are not immediately clear, and it does not provide any indication of its correctness."
x,,,?,,,,,,5,"5.Let us now see how we could improve the quality of this snippet.First, I would change the definition of bo_def:"
,x,,y,,,,,,2,"2.\end{code}For example, the lemma `equivclp_least[OF hash]` is a bit cryptic and I would prefer something more explicit and readable."
,,,,,,,x,,3,"3.### Verifying the quality of a proofTo verify that a proof is well-written, I can use the checker [https://isabelle.in.tum.de/system/files/logic/isabelle/checker/Isabelle2019-tutorial-checker.pdf](Isabelle2019-tutorial-checker.pdf) that was created by Moritz and Walter."
,,,,,,,x,,6,"6.\hypertarget{points}{In a formalization, points can be assessed using the following system.}Let us look at the formalization of this snippet."
,,x,y,,,,,,5,"5 for this snippet.Why do I give it a 5?\begin{itemize}\item The definitions are readable, but could be even better."
,,,,,,,x,,20,"20.\end{code}Comment: The proof assistant is just a tool, and it can have its own version of the rules of inference. What you have here is a proof of soundness."
,,,,,,,x,,5,5.We'd really like a way to provide feedback on the quality of formalizations.
,,x,y,,,,,,6,"6. There are some things we would change if we could do it again, but it is hard to make it perfect."
,,,,,,x,,,4,"4.Unfortunately, only the part""show idem: ""'a \<Rightarrow> 'a \<Rightarrow> 'a optionm 'aa 'aa = 'a \<Rightarrow> 'a optionSome 'aa"" for a by(simp add: same)""is wrong."
,,,,x,,,,,7,7. In the next section we will take a closer look at the metrics we are using.
x,,,y,,,,,,6,6. The extra unused lemmas could be filled in and the proof could be simplified by using the rewrite rules available in the Isabelle theory library.
,,,,,,,x,,3,3.## How Isabelle assesses the quality of formalizationsIsabelle comes with a [tool](http://www.cs.indiana.edu/~fl/qt/qt.html) which allows you to take a formalization and write some code which will check its quality.
,,,,,,x,,,9,9.5.Here is another example which is arguably incorrect:elegibility_keys_parametric[transfer_rule]:[<parametric_constant of_public_key>]
,,,,x,,,,,3,"3. It is difficult to write a good formalization that is both clear and maintainable, and that is understood by everyone in the team."
,,x,y,,,,,,1,1. It is a little difficult to understand and will be harder to maintain. It is not easy to use.
,,,,,x,,,,4,"4.Also, I would prefer that it would be possible to write the full definition in one place, e.g., a formalization of a set of functions, which would make it easier to maintain the definition, as well as to quickly see if there were any problems."
,,,,,x,,,,5,"5.What could be improved here?\begin{itemize}\item The function `hash_blindable' is not introduced, and therefore its type is not defined."
,,x,y,,,x,,,5,"5: It is possible to understand it, it is easy to use, and it does not break when you make a change to the Isabelle library.But, for this snippet, there is a better way to formalize it that is also correct."
,,x,y,,,,,,5,"5: the proof is still a little bit hard to follow, and it is likely to break if someone modifies a definition or a lemma somewhere else."
,,,,,,,x,,6,"6.Given this fragment, we have no assurance about the quality of the proofs."
,,,,,,,x,,3,"3.As a concrete example, I tried to formalize the following function (from the Data.Set.Unboxed.Binary.Std library):"
,,x,?,,,,,,5,"5.However, one may find the above snippet verbose, and I agree."
,,x,y,,x,,,,7,"7.The lemma mentions several undefined types and functions, and even though we can always safely assume that they are defined somewhere in the Isabelle proof, it is not easy to find. Furthermore, the name of the lemma is not helpful in understanding the lemma and its uses."
,,x,y,,,,,,9,"9, for now.\begin{itemize}\item \textbf{Understandability:} This is pretty self-explanatory. I believe that this snippet is easily understandable."
,,,,,,,x,,5,"5.The Isabelle community has a general philosophy of writing the most correct proofs first, and they often write proofs that are too long or contain too many details."
,,,,x,,,,,7,7.\begin{blockquote}\begin{itemize}  \item \strong{Understandable}: A formalization should be easily understandable.
,,x,n,,,,,,10,10. The proof is quite hard to follow.
,,,,,,,x,,7,"7.Since we are working on a formalization of the ""real"" Merkle tree, we know that we can safely ignore the additional assumptions and use them to make our formalization easier to read and understand."
,,x,y,,,x,,,1,"1. It is very hard to read, it is full of redundant definitions and lemmas, and the proofs are not correct."
,,x,y,,,x,,,7,"7,because some definitions are not very clear,and because I am not sure whether the definitions are sound."
,,,,x,,,,,3,3.\subsection{Quality metrics}We can measure the quality of an Isabelle formalization by looking at some of the following dimensions:
,,,,,,x,,,2,2.\end{blockquote}\begin{blockquote}\begin{itemize}  \item Is the definition for a lemma correct?\end{itemize}\end{blockquote}The definition is correct.
x,,,?,,,,,,5,"5.\medskipWe can still make it better, as follows:"
,,,,,,,x,,6,6.With this snippet we can see that the lemma uses two different notation for the same type: the `a\<^sub>m set and the `a\<^sub>m option.
,,,,,,,x,,7,"7.\end{document}\end{code}Comment: You mean, on a scale from 0 to 10. I've edited the example accordingly."
,x,,n,,,,,,2,"2.\end{code}The key to the right quality is to make sure you use the proper techniques. In this case, the author uses `cases` to construct the proof of `merge_sum`, which is the correct choice."
,,,,,,,x,,6,6.\strong{What would be your rating of this snippet? What would you do to improve it?}There are several obvious things we can do to improve it:
,,,,,,,x,,5,"5.This is what Isabelle tries to improve. The author of the definition might want to add more information, but not only the author of the definition:"
,,x,y,,,,,,5,5. It is not very intuitive and not easy to read.
,,x,y,,,,,,4,"4. The proof is clear. However, there is a lot of repetition, even within the same definition:"
,,x,y,,,,,,4,"4. It is clear what is going on, but it could be much clearer."
,,x,y,,,,,,3,"3. As you can see, there is a lot of information, but it is hard to read, and it is not easy to use."
,,x,y,,x,,,,6,"6. The proof looks a bit hard to follow, and there are missing definitions."
,,x,y,,,,,,2,"2, because I did not take care to write the definitions in such a way that they are both readable and succinct."
,,x,n,,,,,,6,6.\begin{itemize}\item It's understandable.\item The proofs are easy to follow and the example is well chosen.
,x,,y,,,,,,4,"4.The definition of 'merkle_product' is not too hard to follow and understand, however, it is hard to maintain, and it is hard to use."
